Gene,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
ENSMUSG00000041134,Cyyr1,3.0133542092619434,-0.0030604081677527,0.0232058056800296,-0.8229840698610531,0.4105170524693223,,False
ENSMUSG00000041135,Ripk2,2.990382740044292,-0.0001250374218955,0.022712284469841,-0.0517969478263365,0.9586904875704164,,False
ENSMUSG00000041138,Nme8,0.1864841195366377,0.0005283373514709,0.0236739152915484,0.2410825665737454,0.8094911242011205,,False
ENSMUSG00000041143,Tmco4,2.3501162754236624,0.0007765443765863,0.022968129153562,0.2377193270130197,0.8120987925283922,,False
ENSMUSG00000041144,Dnah7b,3.18338139746941,0.0038446170615148,0.0234474176524785,1.0895290671399505,0.275920643955402,,False
ENSMUSG00000041147,Brca2,2.9345988115933745,0.0018735861692879,0.0229223126734718,0.5002403162703057,0.6169058735669537,,False
ENSMUSG00000041153,Osgin2,4.3636820781211725,-0.0001744639373657,0.0222575043619525,0.3002327882117742,0.7639995966487089,,False
ENSMUSG00000041161,Otud3,3.1577605238975948,-0.0033047686414317,0.0232383004625146,-0.7930022637649127,0.4277765038620111,,False
ENSMUSG00000041165,Spem1,0.3399631952649872,-0.0016375830471249,0.0238464574883222,-0.9009489112114172,0.3676154837868621,,False
ENSMUSG00000041180,Hectd2,5.84087851104564,-0.0027522432310455,0.0221341232954582,-0.5091729659944868,0.6106309905302295,,False
ENSMUSG00000041187,Prkd2,2.880661619387681,-0.0023781820389236,0.0230527930038004,-0.6338199140062428,0.5261983554732915,,False
ENSMUSG00000041189,Chrnb1,1.534862265269694,-0.0024705441794839,0.0235638906172467,-0.9356026735992647,0.3494777975000339,,False
ENSMUSG00000041193,Pla2g5,2.267788667916815,0.0006657511659125,0.0229826358600199,0.2524002115469237,0.8007317366469096,,False
ENSMUSG00000041199,Rpusd1,6.553216224187342,0.0016998784978631,0.0217365644134279,0.2913817324226283,0.7707593841257462,,False
ENSMUSG00000041202,Pla2g2d,1.6361578787801292,0.001777878356891,0.0233608423039307,0.9339220346070431,0.3503441116960998,,False
ENSMUSG00000041203,Trir,7.117174388094047,-0.0008410736231553,0.0214645907591424,-0.1364406788496896,0.8914729172722837,,False
ENSMUSG00000041205,Map6d1,7.056558416287084,0.0015302745163478,0.0215639190774637,0.1372786717835568,0.8908105282690156,,False
ENSMUSG00000041215,Yeats2,6.697161344636691,0.0006097785168813,0.0215656398063392,0.0646178807144538,0.948478247711438,,False
ENSMUSG00000041216,Clvs1,6.743511236655444,0.0027721909422686,0.0218961960285764,0.5958385291477626,0.5512831017463311,,False
ENSMUSG00000041219,Arhgap11a,2.573902593024229,0.0002360441517319,0.0228673501908374,0.1079609034288507,0.9140267054293844,,False
ENSMUSG00000041220,Elovl6,8.538242488032417,-0.006897732567116,0.0230554914808246,-1.027609463059851,0.3041335710367142,,False
ENSMUSG00000041225,Arhgap12,7.82130878541572,-0.0004961387849398,0.0212205890106642,0.3632569288991686,0.7164129646596036,,False
ENSMUSG00000041229,Phf8,5.61218595181283,-0.0078657553058595,0.0248818561448536,-1.3746100355315425,0.1692523756697787,,False
ENSMUSG00000041231,Ublcp1,7.382789267079085,0.0067857250705387,0.0234524437247914,1.147736358270239,0.2510774169108584,,False
ENSMUSG00000041235,Chd7,4.556891990212351,-0.0062775581994323,0.0241971833672333,-1.4250762662359475,0.1541351564059012,,False
ENSMUSG00000041237,Pklr,0.5615399355497331,0.000458813770708,0.0235675568079112,0.2513553091957952,0.8015394167901339,,False
ENSMUSG00000041238,Rbbp8,2.932466209337452,-2.446350402612839e-05,0.0227320183100796,-0.0124417388817447,0.9900731847440252,,False
ENSMUSG00000041241,Mul1,6.958368354319501,-0.003568760555924,0.0220587623203162,-0.6658792406842079,0.5054882904310907,,False
ENSMUSG00000041245,Wnk3,6.677285328973552,-0.00290432019445,0.0219391420423231,-0.5856932008086361,0.5580817039939314,,False
ENSMUSG00000041247,Lamp3,0.2817217489977227,-0.0012794295850329,0.0237877772777729,-0.6616630533294372,0.5081871880880815,,False
ENSMUSG00000041248,Kcnj1,0.3521976991204313,0.0004981789543889,0.023699561562027,0.1974898646693034,0.8434442120806054,,False
ENSMUSG00000041255,Tmco5b,0.4392253445005066,0.0002530386752531,0.0236059227213386,0.1482990453496499,0.882106768730492,,False
ENSMUSG00000041258,Zfp236,7.391400515788838,-0.0196965226849311,0.0395819067821517,-2.0196383215483382,0.0434209171184086,,False
ENSMUSG00000041261,Ca8,3.3420674377451185,0.0026126704808462,0.022973122170197,0.6529212986512635,0.513807017278028,,False
ENSMUSG00000041264,Uspl1,6.688431177254162,-0.0045340955321587,0.022491561166343,-0.7256959495974851,0.4680251853886151,,False
ENSMUSG00000041272,Tox,4.656234914123028,0.0022482117336589,0.022439578849836,0.5005480888807897,0.6166892041651018,,False
ENSMUSG00000041278,Ttc1,6.033890321397903,-0.001250450798544,0.0218195453634274,0.0606815514231006,0.9516128244330117,,False
ENSMUSG00000041287,Sox15,0.2795793233445113,0.0004627308093056,0.0236800965588683,0.2366410588318516,0.8129352643859733,,False
ENSMUSG00000041293,Adgrf1,0.6920602022905465,0.0006830794821197,0.0235650999335524,0.3933888684433753,0.6940322900112859,,False
ENSMUSG00000041297,Cdk13,8.659400376203484,-0.0012380404528941,0.0210705811838333,-0.4260971146095222,0.6700370826191009,,False
ENSMUSG00000041301,Cftr,1.822129369944652,-0.0007935909287803,0.0231606616796171,-0.0720068209543148,0.9425964796081956,,False
ENSMUSG00000041303,Gtf3c3,6.2623615952396845,0.0024123628071879,0.0219608059979411,0.4804230520801326,0.6309266060306288,,False
