native,name,Wilcoxon_p,Wilcoxon_FDR,Wilcoxon_significant,gProfiler_p,gProfiler_significant,methods_included,methods_significant
GO:0000725,recombinational repair,,,,1.0,False,1,0
GO:0000725,recombinational repair (GO:0000725),0.2140102038556433,0.5382895909976492,False,,,1,0
GO:0000727,double-strand break repair via break-induced replication (GO:0000727),0.7609763313018729,0.9228717388852088,False,,,1,0
GO:0000729,DNA double-strand break processing (GO:0000729),0.3226586453247387,0.6491994506267837,False,,,1,0
GO:0000731,DNA synthesis involved in DNA repair (GO:0000731),0.2693600683386976,0.5999311445735056,False,,,1,0
GO:0000737,"DNA catabolic process, endonucleolytic (GO:0000737)",0.2836582144555398,0.6130954500179048,False,,,1,0
GO:0000768,syncytium formation by plasma membrane fusion,,,,1.0,False,1,0
GO:0000819,sister chromatid segregation,,,,1.0,False,1,0
GO:0000819,sister chromatid segregation (GO:0000819),0.1023492492117,0.3832287287857632,False,,,1,0
GO:0000902,cell morphogenesis,,,,1.946938755999238e-09,True,1,1
GO:0000904,cell morphogenesis involved in differentiation (GO:0000904),0.6372053583454487,0.8669009771177498,False,,,1,0
GO:0000910,cytokinesis,,,,0.8316982632242776,False,1,0
GO:0000912,assembly of actomyosin apparatus involved in cytokinesis,,,,1.0,False,1,0
GO:0000915,actomyosin contractile ring assembly,,,,1.0,False,1,0
GO:0000956,nuclear-transcribed mRNA catabolic process,,,,1.0,False,1,0
GO:0000956,nuclear-transcribed mRNA catabolic process (GO:0000956),1.0148266998536593e-07,3.4993069750408454e-05,True,,,1,1
GO:0000959,mitochondrial RNA metabolic process (GO:0000959),0.2631625434288387,0.594505972141504,False,,,1,0
GO:0001101,response to acid chemical,,,,1.0,False,1,0
GO:0001325,formation of extrachromosomal circular DNA (GO:0001325),0.3276417261787501,0.6533885738149311,False,,,1,0
GO:0001408,guanine nucleotide transport,,,,1.0,False,1,0
GO:0001501,skeletal system development,,,,1.0,False,1,0
GO:0001501,skeletal system development (GO:0001501),0.0241814983336436,0.188337624598584,False,,,1,0
GO:0001502,cartilage condensation,,,,1.0,False,1,0
GO:0001503,ossification,,,,1.0,False,1,0
GO:0001504,neurotransmitter uptake,,,,1.0,False,1,0
GO:0001504,neurotransmitter uptake (GO:0001504),0.4058265605209837,0.7137099268088547,False,,,1,0
GO:0001508,action potential,,,,1.0,False,1,0
GO:0001508,action potential (GO:0001508),0.9600167036033648,0.9908625299218164,False,,,1,0
GO:0001510,RNA methylation,,,,1.0,False,1,0
GO:0001510,RNA methylation (GO:0001510),0.4678756547386856,0.7636003501811702,False,,,1,0
GO:0001516,prostaglandin biosynthetic process,,,,1.0,False,1,0
GO:0001516,prostaglandin biosynthetic process (GO:0001516),0.1703563198765048,0.4863091453067253,False,,,1,0
GO:0001522,pseudouridine synthesis (GO:0001522),0.7602275256562746,0.922750862295516,False,,,1,0
GO:0001523,retinoid metabolic process (GO:0001523),0.7300579980269428,0.905089603952429,False,,,1,0
